# "Cod.dat" produced by dat_write() from ADMButils; Wed Jan 27 18:50:30 2010
# Adding TotFIC, TotC in thous mt, FIC = both spring and fall surveys 

# Nsp 
 1 

# nFIC 
 2 

# Fyr 
 1978 

# Lyr 
 2007 

# Nage 
 10 

# nMseg 
 1 

# nseg 
 1 

# AgePartRect 
 1 

# AgeFullRect 
 4 

# Survey_AgeFullRect 
 3 

# FICs_lage 
 1 

# M1yr 
 1978 

# TCwt 
 150 

# CPwt 
 50 

# Bwt 
 1e+15 

# Ywt 
 1e-12 

# Rwt 
 0 

# Bthres 
 1e-05 

# Rthres 
 1 

# TSwt 
 0 75 

# SPwt 
 0 50 

# iM2 
 0 0 0 0 0 0 0 0 0 0 

# fic_fage 
 1 1 

# fic_lage 
 10 10 

# FICmonth 
 4 10 

# FICyr 
3.525 2.25 1.559 0.589 0.054 0.579 0.057 0.064 0.018 0.083
0.577 1.91 0.242 0.068 0.115 0 0.031 0.033 0 0
0.85 1.089 0.74 0.069 0.033 0.004 0.01 0.015 0 0.044
1.909 0.682 0.929 0.825 0.024 0.059 0.039 0 0.039 0.044
0.181 0.843 0.067 0.106 0.077 0.028 0 0 0 0.003
2.279 0.129 0.329 0.008 0.049 0.073 0.016 0 0.007 0.022
0.414 1.353 0.108 0.2 0.028 0.012 0 0 0 0.007
0.875 0.437 0.904 0.06 0.194 0 0.011 0.039 0 0
2.798 1.046 0.161 0.507 0.055 0.015 0.007 0 0 0
0.364 1.624 1.814 0.412 0.286 0.069 0.022 0.011 0 0.022
0.408 0.175 0.274 0.031 0.029 0 0 0 0 0
0.412 0.949 0.174 0.1 0.044 0.01 0 0 0 0
0.97 0.532 0.383 0.017 0.025 0.022 0 0 0.022 0
0.406 0.664 0.433 0.153 0.068 0.021 0 0.006 0 0
0.245 1.811 1.249 0.087 0.054 0.011 0 0 0 0
0.24 0.196 0.414 0.143 0.06 0.027 0 0 0 0
0.236 0.321 0.109 0.129 0.049 0.009 0.007 0 0 0
0.336 1.026 0.352 0.041 0.035 0.004 0 0.004 0 0
